long,lat
-43.7824717516629,-22.8859161900417
-43.7823103472356,-22.8858805407229
-43.7805604165995,-22.8856720460537
-43.7799291335411,-22.8851577531311
-43.7774141228437,-22.8840729630914
-43.7773174732389,-22.8840459560163
-43.7761827578042,-22.8838679638399
-43.7761075646154,-22.8838486394998
-43.7759276399233,-22.8838074503358
-43.7759331737782,-22.8837784834953
-43.7758085446809,-22.8837580426187
-43.775684196006,-22.8837371421025
-43.7755224907819,-22.8837160477973
-43.7754157504988,-22.883694566692
-43.7749611278231,-22.8836134990922
-43.7748096612767,-22.883589931023
-43.7728264359277,-22.8834716679897
-43.7726787077209,-22.8834768500775
-43.7706857347295,-22.8837394815596
-43.7705350100337,-22.8837743557529
-43.769270392797,-22.8842506349889
-43.7668895036442,-22.8845088550812
-43.7666683620913,-22.8845645231563
-43.7659860752749,-22.8848364967119
-43.7641649915498,-22.8839060657393
-43.7635371290183,-22.8835852798902
-43.7632626572765,-22.883450287112
-43.7630079486511,-22.8833297955849
-43.7621615819611,-22.8829294169986
-43.7617699203387,-22.8827441393043
-43.7618500857091,-22.8792820249792
-43.7618317086851,-22.8791892839256
-43.7617849457772,-22.8789532842035
-43.7611147110579,-22.8769362237932
-43.7609275123167,-22.8765433592041
-43.7585920707975,-22.8735291201118
-43.7581864292764,-22.8731850517637
-43.7564717767184,-22.8720216855596
-43.755463390862,-22.8714832132729
-43.7552191738326,-22.8713061851735
-43.7538253698673,-22.8705786406292
-43.75384581259,-22.870548933134
-43.7538388964112,-22.8705448463954
-43.753627062147,-22.8704142189199
-43.7528863231263,-22.8700884614119
-43.7526670694241,-22.869974010441
-43.7526560582606,-22.8699701444363
-43.7524544865679,-22.8698940851387
-43.7524528427966,-22.8698978258993
-43.7510988318005,-22.869302349547
-43.7509969894362,-22.8692732536142
-43.7503216114364,-22.869104637247
-43.7502923301809,-22.8690983617239
-43.7502534492124,-22.8690900298616
-43.7498768383452,-22.8690814328297
-43.7492956415963,-22.8688897784785
